,№,Вопрос,Да/нет,Комментарий 
,4,Проводится ли регулярное резервное копирование данных? Хранятся ли резервные копии в защищённых хранилищах?,Да,"Для всех баз данных производится резервное копирование, необходимо проверить, что процесс восстановления данных проводится периодически."
,5,Выполняется ли регулярное тестирование процесса восстановления данных из резервных копий?,Да,"Для всех баз данных производится резервное копирование, необходимо проверить, что процесс восстановления данных проводится периодически."
,6,"Ограничен ли доступ к резервным копиям данных, и зашифрованы ли они?",,"Нет сведений, необходимо проверить. Далее требуется обеспечить хранение резервных копий баз данных в защищенном контуре."
,7,"Ведётся ли учёт персональных данных, и применяются ли специальные процедуры обработки и хранения для различных типов данных (общедоступные, конфиденциальные, критически важные)?",Нет,В рамках этапа классификации данных необходимо продумать подходы к хранению этих данных и правил доступа к ним.
,8,"Осуществляется ли мониторинг доступа к данным на основе их классификации, и используются ли метки безопасности для маркировки данных?",Нет,"В архитектуре PropDevelopment нет системы контроля потоков данных и автоматической их разметки. Предполагается, что внедрение такой системы может быть этапом 2, после реализации первичных основополагающих этапов (классификации, сегментации данных)."
,9,Разработаны ли процессы и системы Data Governance для управления данными?,Нет,"Во всяком случае не найдены артефакты, кот. могли бы сообщить, что в компании используется классификаци данных"
,10,Реализованы ли системы или процессы безопасного уничтожения данных?,Нет,
,11,Используются ли системы или процессы контроля целостности данных?,Нет,"Особенно есть проблема наличия нескольких точек регистрации клиентов, возможно различие атрибутивного состава"
,12,Реализованы ли системы или процессы контроля сохранности данных?,Нет,Требуется проверить наличие такой логики на уровне баз данных (констрейнты и прочие проверки целостности)
,13,Применяются ли средства или процессы анонимизации данных?,Нет,"Данные клиентов храняется в реляционных базах данных, что означает, что как минимум системы оперируют анонимизиованными идентификаторами пользователей. Требуется проверить, хранятся ли ПД клиентов отдельно от идентификационных данных."
,14,Разработана ли инструкция по процессу восстановления данных?,Да,"Предполагаю, что раз настроено резервное копирование, то значит и умеем поднимать базу данных из дампа"
,III. Защита инфраструктуры,,,
,1,Используется ли межсетевой экран для ограничения входящего и исходящего трафика?,Да,Только в части входящего трафика клиентов и собственников. Внутренние пользователи авторизуются без файервола.
,2,"Реализована ли сегментация сети на логические зоны (DMZ, корпоративная сеть, гостевая сеть) для ограничения доступа к критическим ресурсам?",Нет,"Все сервисы доступны в единой сети, это большая проблема."
,3,Используются ли IDS/IPS-системы для обнаружения и предотвращения сетевых атак?,Нет,"Точнее, не известно, требуется проверить."
,4,"Настроен ли мониторинг сетевого трафика на предмет аномалий и возможных атак, например, DDoS?",Нет,"Точнее, не известно, требуется проверить."
,5,"Проводится ли регулярное сканирование уязвимостей операционных систем, приложений и сетевых устройств?",Нет,"Точнее, не известно, требуется проверить."
,6,Установлены ли на серверах и рабочих станциях антивирусные программы и системы EDR (Endpoint Detection and Response)?,Нет,"Точнее, не известно, требуется проверить."
,7,"Отключены ли неиспользуемые службы и порты на серверах, рабочих станциях и сетевом оборудовании?",Нет,"Точнее, не известно, требуется проверить."
,8,"Используются ли механизмы контроля целостности системных файлов, и ведётся ли журналирование доступа к системным ресурсам?",Нет,"Точнее, не известно, требуется проверить."
,9,Проводятся ли автоматизированные сканирования облачных инфраструктур на соответствие рекомендациям безопасности?,Нет,"Необходимо уточнить у облачного провайдера, какие методики обеспечения ИБ он предоставляет."
,10,Реализовано ли автоматическое обновление сигнатур защиты от вредоносных программ?,Нет,
,11,Осуществляется ли фильтрация трафика между сетевыми сегментами?,Нет,
,12,Используются ли средства для контроля периметра доступа?,Да,Определен корпоративный контур (для внутренних пользователей) и пользовательский контур (для клиентов и собственников)
